filename,company_code,prod_code,prod_name,date,AUM,manager_name,bank
BNPLife_DMA056.pdf,BNPLife,DMA056,共3頁法國巴黎人壽新臺幣環球新益投資帳戶(委託聯博投信運用操作),2022-04-30,809808274,陳怡君,臺灣中小企業銀行
BNPLife_DMA057.pdf,BNPLife,DMA057,共3頁法國巴黎人壽新臺幣環球新益投資帳戶(委託聯博投信運用操作),2022-04-30,809808274,陳怡君,臺灣中小企業銀行
BNPLife_DMA058.pdf,BNPLife,DMA058,法巴人壽智慧收益投資帳戶(委託安聯投信),2022-04-29,29000000,林季潔,華南銀行
BNPLife_DMA059.pdf,BNPLife,DMA059,法巴人壽智慧收益投資帳戶(委託安聯投信),2022-04-29,29000000,林季潔,華南銀行
BNPLife_DMA060.pdf,BNPLife,DMA060,法國巴黎人壽 資帳戶,2022-04-29,19260000.00,MngName NF,Bank NF
BNPLife_DMA061.pdf,BNPLife,DMA061,法國巴黎人壽動態智慧 ETF投資帳戶,2022-04-29,2850000.00,MngName NF,Bank NF
BNPLife_DMA062.pdf,BNPLife,DMA062,法國巴黎人壽新臺幣全球資產投資帳戶 (委託復華投信運用操作 ),2022-04-29,302000000.00,王景輝,Bank NF
BNPLife_DMA063.pdf,BNPLife,DMA063,法國巴黎人壽新臺幣全球資產投資帳戶 (委託復華投信運用操作 ),2022-04-29,302000000.00,王景輝,Bank NF
BNPLife_DMA064.pdf,BNPLife,DMA064,法國巴黎人壽精選收益投資帳戶-月撥現(委託霸菱投顧運用操作),2022-04-29,101670000.00,黃家珍,彰化商業銀行
BNPLife_DMA065.pdf,BNPLife,DMA065,法國巴黎人壽精選收益投資帳戶-轉投入(委託霸菱投顧運用操作),2022-04-29,101670000.00,黃家珍,彰化商業銀行
BNPLife_DMA066.pdf,BNPLife,DMA066,法國巴黎人壽智動因子投資帳戶(委託台新投信運用操作),2022-04-29,8480000,邱櫂詮,台新國際商業銀行信託部
BNPLife_DMA067.pdf,BNPLife,DMA067,法國巴黎人壽智動因子投資帳戶(委託台新投信運用操作),2022-04-29,1710000,MngName NF,台新國際商業銀行信託部
BNPLife_DMA068.pdf,BNPLife,DMA068,法國巴黎人壽豐收富利投資帳戶(委託摩根投信運用操作),2022-04-29,366420000.00,楊若萱,永豐銀行
BNPLife_DMA069.pdf,BNPLife,DMA069,法國巴黎人壽豐收富利投資帳戶(委託摩根投信運用操作),2022-04-29,366420000.00,楊若萱,永豐銀行
BNPLife_DMA070.pdf,BNPLife,DMA070,法國巴黎人壽資帳戶,2022-04-29,245560000.00,蔡佳如,Bank NF
BNPLife_DMA071.pdf,BNPLife,DMA071,法國巴黎人壽環球得利投資帳戶 (委託貝萊德投信運用操作 ),2022-04-29,799630893.15,陳秀宜,華南銀行
BNPLife_DMA072.pdf,BNPLife,DMA072,法國巴黎人壽環球得利投資帳戶 (委託貝萊德投信運用操作 ),2022-04-29,799630893.15,陳秀宜,華南銀行
BNPLife_DMA073.pdf,BNPLife,DMA073,法國巴黎 人壽特別優利投資帳戶 (委託柏瑞投信運用操作 ),Date NF,23490000.00,方奕翔,台新銀行
BNPLife_DMA074.pdf,BNPLife,DMA074,法國巴黎 人壽特別優利投資帳戶 (委託柏瑞投信運用操作 ),Date NF,23490000.00,方奕翔,台新銀行
BNPLife_DMA075.pdf,BNPLife,DMA075,法國巴黎人壽優利滿滿投資帳戶-月撥現(委託霸菱投顧運用操作),2022-04-29,88150000.00,黃家珍,元大商業銀行
BNPLife_DMA076.pdf,BNPLife,DMA076,法國巴黎人壽優利滿滿投資帳戶-轉投入(委託霸菱投顧運用操作),2022-04-29,88150000.00,黃家珍,元大商業銀行
BNPLife_DMA077.pdf,BNPLife,DMA077,法國巴黎人壽美歐價值投資帳戶(委託台新投信運用操作),2022-04-29,39580000,邱櫂詮,台新國際商業銀行信託部
BNPLife_DMA078.pdf,BNPLife,DMA078,法國巴黎人壽美歐價值投資帳戶(委託台新投信運用操作),2022-04-29,16260000,MngName NF,台新國際商業銀行信託部
